trip_id,driver_id,driver_name,origin,destination,distance_km,pickup_time,delivery_time,actual_delivery_time,status,fuel_cost,driver_pay,maintenance_cost,toll_cost,load_value,profit_margin,vehicle_id,vehicle_type,violation_count,speeding_incidents,gps_start_lat,gps_start_lon,gps_end_lat,gps_end_lon,weather_condition
17,124,Driver_124,Houston,Atlanta,1401.42,2025-08-27 00:03:12.970906,2025-08-31 02:03:12.970906,2025-08-31 03:24:12.970906,In Transit,491.73,710.93,136.83,37.59,2378.78,1001.7,223,18-wheeler,0,0,35.356899,-84.950128,27.316751,-82.004486,Rain
18,147,Driver_147,Seattle,New York,1129.7,2025-08-27 02:03:12.970953,2025-08-28 02:03:12.970953,2025-08-28 04:25:12.970953,Delivered,497.65,463.26,245.4,77.34,2109.69,826.04,216,18-wheeler,0,0,36.194616,-110.170258,30.155235,-91.131739,Cloudy
19,116,Driver_116,Denver,Dallas,1436.27,2025-08-26 16:03:12.970989,2025-08-29 22:03:12.970989,2025-08-29 22:08:12.970989,In Transit,502.89,666.6,170.45,52.73,3082.11,1689.44,244,Van,0,0,30.449011,-77.24884,36.048206,-82.809578,Rain
20,149,Driver_149,Chicago,Boston,1454.48,2025-08-26 23:03:12.971025,2025-08-29 20:03:12.971025,2025-08-29 21:33:12.971025,Scheduled,468.14,852.61,205.47,86.6,2793.64,1180.82,218,Truck,0,0,32.502793,-103.030887,27.411411,-118.157833,Sunny
21,138,Driver_138,Chicago,Atlanta,1202.14,2025-08-28 09:03:12.971059,2025-08-31 18:03:12.971059,2025-08-31 18:27:12.971059,Delivered,750.83,703.58,267.71,54.16,2587.34,811.06,219,Van,1,1,41.507403,-71.116358,28.319526,-108.673164,Sunny
22,121,Driver_121,Dallas,Seattle,1260.92,2025-08-26 21:03:12.971092,2025-08-30 07:03:12.971092,2025-08-30 09:50:12.971092,Delivered,560.74,535.85,198.03,25.59,2209.72,889.51,224,Truck,1,1,32.294559,-104.315416,29.33162,-95.155118,Cloudy
23,143,Driver_143,Los Angeles,Houston,1344.27,2025-08-27 20:03:12.971125,2025-08-29 11:03:12.971125,2025-08-29 11:11:12.971125,In Transit,579.76,603.67,166.23,56.11,2344.62,938.85,238,Van,0,0,34.192852,-99.648778,28.735996,-89.433883,Sunny
24,109,Driver_109,Miami,Denver,904.77,2025-08-26 16:03:12.971159,2025-08-30 00:03:12.971159,2025-08-29 23:54:12.971159,Delivered,294.19,422.58,83.08,43.54,1527.96,684.57,246,Truck,0,0,34.876071,-109.799085,38.539802,-86.370833,Sunny
25,115,Driver_115,Los Angeles,Denver,2483.68,2025-08-29 02:03:12.971195,2025-09-02 09:03:12.971195,2025-09-02 10:49:12.971195,Scheduled,792.26,1296.55,104.67,87.5,4437.62,2156.64,235,Truck,2,2,25.747862,-115.149562,29.359788,-82.56919,Cloudy
26,147,Driver_147,New York,Seattle,1873.45,2025-08-28 06:03:12.971228,2025-08-30 06:03:12.971228,2025-08-30 09:03:12.971228,Delivered,749.15,577.83,57.92,78.77,4167.39,2703.72,206,Truck,0,0,33.902015,-106.405692,25.508831,-96.706386,Rain
27,149,Driver_149,Atlanta,Boston,440.52,2025-08-27 22:03:12.971261,2025-08-29 22:03:12.971261,2025-08-29 23:59:12.971261,Delivered,165.25,182.89,240.49,80.04,1032.59,363.92,212,18-wheeler,0,0,35.537174,-118.07685,26.276645,-93.910119,Snow
28,149,Driver_149,Chicago,Denver,1682.12,2025-08-28 14:03:12.971306,2025-08-31 13:03:12.971306,2025-08-31 15:45:12.971306,Delayed,662.73,526.31,85.2,47.4,3831.75,2510.11,208,Van,2,2,36.554225,-83.14967,34.568236,-105.196254,Snow
29,107,Driver_107,Dallas,Miami,1463.28,2025-08-27 09:03:12.971339,2025-08-30 12:03:12.971339,2025-08-30 12:34:12.971339,Delivered,707.02,678.18,75.06,60.72,2966.74,1445.76,247,Truck,2,2,36.186981,-89.956144,35.995049,-118.596358,Snow
30,108,Driver_108,Atlanta,New York,1471.26,2025-08-26 09:03:12.971373,2025-08-29 17:03:12.971373,2025-08-29 17:17:12.971373,In Transit,726.75,540.61,144.21,61.66,3344.24,1871.01,216,18-wheeler,0,0,27.207417,-108.72698,37.093357,-88.389524,Sunny
31,129,Driver_129,Chicago,Atlanta,607.49,2025-08-27 10:03:12.971407,2025-08-30 07:03:12.971407,2025-08-30 07:36:12.971407,Scheduled,252.0,352.62,71.64,79.37,1320.3,564.67,243,Van,1,1,33.423426,-116.334365,27.588467,-93.637292,Rain
32,126,Driver_126,New York,Denver,891.85,2025-08-28 22:03:12.971441,2025-08-31 00:03:12.971441,2025-08-31 02:10:12.971441,Delivered,288.54,479.07,210.1,71.22,1672.05,623.12,234,Truck,0,0,41.721882,-78.533383,35.066106,-108.238622,Sunny
33,145,Driver_145,New York,Atlanta,329.97,2025-08-28 11:03:12.971474,2025-08-31 21:03:12.971474,2025-08-31 21:09:12.971474,Delivered,90.66,134.59,130.42,65.25,535.58,114.66,248,18-wheeler,1,1,39.298393,-94.710025,40.979421,-85.222399,Cloudy
34,103,Driver_103,Boston,Los Angeles,686.26,2025-08-26 17:03:12.971515,2025-08-29 10:03:12.971515,2025-08-29 10:09:12.971515,Delivered,270.12,353.77,172.62,40.11,1621.55,784.93,224,Truck,0,0,39.160993,-82.754628,39.941139,-82.138137,Cloudy
35,126,Driver_126,Dallas,Denver,2002.34,2025-08-28 18:03:12.971550,2025-08-30 04:03:12.971550,2025-08-30 06:27:12.971550,Delivered,992.58,1136.4,135.93,69.18,4511.02,2176.93,217,18-wheeler,0,0,31.656096,-77.54624,29.981863,-76.641149,Snow
36,149,Driver_149,Boston,Denver,2027.36,2025-08-27 21:03:12.971585,2025-08-30 06:03:12.971585,2025-08-30 07:34:12.971585,In Transit,815.15,757.02,174.81,65.65,4733.27,2920.64,238,Van,0,0,41.683795,-84.645155,34.830287,-90.278223,Snow
37,143,Driver_143,Los Angeles,New York,1926.0,2025-08-27 14:03:12.971630,2025-08-28 15:03:12.971630,2025-08-28 17:24:12.971630,Delayed,680.47,848.68,144.52,49.03,4370.59,2647.89,229,18-wheeler,0,0,32.775252,-72.744309,26.527573,-101.432445,Snow
38,124,Driver_124,Denver,Los Angeles,2135.65,2025-08-27 03:03:12.971663,2025-08-31 15:03:12.971663,2025-08-31 17:10:12.971663,Delivered,775.0,1152.29,262.58,99.57,5132.18,2842.74,218,Truck,0,0,41.009056,-81.897433,26.830599,-79.712555,Sunny
39,111,Driver_111,Houston,Seattle,329.51,2025-08-28 02:03:12.971696,2025-08-30 16:03:12.971696,2025-08-30 15:50:12.971696,Delivered,126.05,187.27,238.26,28.19,658.5,78.73,213,Van,0,0,33.375986,-102.325695,29.311441,-75.564636,Cloudy
40,129,Driver_129,Boston,Seattle,641.83,2025-08-26 21:03:12.971731,2025-08-31 21:03:12.971731,2025-08-31 22:35:12.971731,In Transit,345.9,308.51,70.38,12.06,1539.15,802.3,239,18-wheeler,2,2,40.521191,-112.76131,26.065889,-78.419248,Snow
41,116,Driver_116,Los Angeles,Chicago,2130.87,2025-08-27 23:03:12.971771,2025-08-31 13:03:12.971771,2025-08-31 14:05:12.971771,Delivered,648.2,1178.32,170.28,83.26,4490.01,2409.95,242,Van,0,0,31.970718,-104.710099,28.985746,-92.530308,Rain
42,118,Driver_118,Miami,Dallas,1484.84,2025-08-29 04:03:12.971804,2025-09-03 00:03:12.971804,2025-09-03 01:43:12.971804,In Transit,516.64,488.79,245.25,18.46,3625.69,2356.55,246,Truck,0,0,28.642288,-92.843716,25.074118,-114.742392,Sunny
43,129,Driver_129,Houston,Chicago,1391.21,2025-08-28 21:03:12.971838,2025-08-31 22:03:12.971838,2025-08-31 23:18:12.971838,Delivered,501.31,711.06,239.6,63.45,2435.25,919.83,209,Truck,0,0,39.499202,-111.373056,38.266666,-94.633431,Cloudy
44,139,Driver_139,Denver,New York,279.85,2025-08-26 20:03:12.971871,2025-08-31 02:03:12.971871,2025-08-31 01:59:12.971871,Delivered,105.8,129.91,56.25,23.24,640.85,325.65,205,Truck,0,0,39.645794,-80.36698,39.78517,-84.431307,Snow
45,116,Driver_116,Dallas,Miami,206.07,2025-08-28 15:03:12.971905,2025-09-02 00:03:12.971905,2025-09-02 02:37:12.971905,Delayed,73.99,86.53,66.52,13.02,499.27,259.21,202,18-wheeler,0,0,25.542036,-117.294118,31.649544,-113.467035,Sunny
46,110,Driver_110,Atlanta,Dallas,896.52,2025-08-28 17:03:12.971941,2025-09-02 12:03:12.971941,2025-09-02 12:27:12.971941,Delivered,337.66,444.73,148.91,28.27,1389.18,429.61,206,Truck,0,0,27.648561,-76.431468,26.974855,-76.934787,Cloudy
47,127,Driver_127,Boston,Atlanta,799.77,2025-08-26 15:03:12.971975,2025-08-30 11:03:12.971975,2025-08-30 13:27:12.971975,In Transit,339.88,406.11,221.8,19.53,1313.85,326.53,237,Van,2,2,37.526708,-91.383421,41.496478,-107.652064,Rain
48,138,Driver_138,Seattle,Houston,876.97,2025-08-29 02:03:12.972030,2025-09-01 16:03:12.972030,2025-09-01 16:49:12.972030,In Transit,254.9,264.38,281.57,73.19,1996.59,1122.55,243,Van,0,0,34.903842,-91.75374,30.732248,-87.261788,Snow
49,142,Driver_142,New York,Denver,2361.85,2025-08-28 14:03:12.972064,2025-09-01 14:03:12.972064,2025-09-01 15:07:12.972064,Delivered,1252.25,996.85,288.74,23.75,5311.71,2750.12,205,Truck,2,2,40.647278,-73.564361,33.017029,-92.001724,Snow
50,132,Driver_132,Chicago,Dallas,2132.54,2025-08-28 10:03:12.972099,2025-09-01 06:03:12.972099,2025-09-01 05:48:12.972099,Delivered,727.49,1107.74,170.44,46.54,3922.63,1870.42,238,Van,0,0,30.267645,-92.109483,30.070462,-79.11219,Rain
51,105,Driver_105,Dallas,Houston,600.26,2025-08-27 10:03:12.972136,2025-08-30 08:03:12.972136,2025-08-30 07:37:12.972136,Delivered,219.81,204.62,144.04,73.37,1273.91,632.07,211,Van,0,0,39.127477,-103.209766,38.125111,-99.729431,Cloudy
52,123,Driver_123,Denver,Los Angeles,582.41,2025-08-27 02:03:12.972170,2025-08-31 22:03:12.972170,2025-08-31 23:24:12.972170,In Transit,308.62,288.28,149.16,29.63,1142.39,366.7,247,Truck,0,0,25.811776,-81.815716,26.915796,-111.378741,Cloudy
53,150,Driver_150,Los Angeles,Miami,356.1,2025-08-26 19:03:12.972203,2025-08-28 09:03:12.972203,2025-08-28 10:28:12.972203,Scheduled,168.43,147.4,180.38,31.31,773.38,245.86,201,Truck,2,2,25.880659,-105.309206,32.422415,-78.902096,Snow
54,144,Driver_144,Dallas,Seattle,2427.95,2025-08-27 05:03:12.972237,2025-08-30 02:03:12.972237,2025-08-30 03:51:12.972237,Delivered,1186.53,866.66,228.43,66.69,5652.21,3303.9,241,18-wheeler,0,0,32.615228,-97.357476,37.425443,-100.20621,Snow
55,102,Driver_102,Denver,Atlanta,2249.97,2025-08-28 00:03:12.972270,2025-09-01 03:03:12.972270,2025-09-01 02:41:12.972270,Delivered,1285.15,1221.46,269.73,78.96,4568.33,1713.03,249,Truck,0,0,40.842268,-103.905447,31.611009,-70.432482,Cloudy
56,146,Driver_146,Houston,Atlanta,585.71,2025-08-28 10:03:12.972304,2025-09-01 11:03:12.972304,2025-09-01 13:22:12.972304,Delayed,260.51,235.42,294.83,80.06,937.02,66.2,238,Van,0,0,25.838842,-118.833766,37.45442,-74.542331,Sunny
57,107,Driver_107,New York,Boston,1251.0,2025-08-28 14:03:12.972337,2025-08-30 10:03:12.972337,2025-08-30 12:15:12.972337,Delivered,496.73,527.74,166.11,98.24,2844.43,1555.61,225,18-wheeler,0,0,29.660633,-87.148357,39.277895,-91.449883,Snow
58,113,Driver_113,Houston,Boston,453.69,2025-08-27 06:03:12.972370,2025-08-29 05:03:12.972370,2025-08-29 06:32:12.972370,In Transit,231.37,204.89,256.75,33.81,1116.87,390.05,229,18-wheeler,0,0,37.267746,-73.950858,31.423825,-115.594152,Rain
59,118,Driver_118,Atlanta,Miami,850.71,2025-08-29 07:03:12.972403,2025-09-02 04:03:12.972403,2025-09-02 04:46:12.972403,Scheduled,328.76,491.81,176.43,99.04,2097.19,1001.15,211,Van,0,0,39.29116,-80.180264,38.648648,-102.887787,Cloudy
60,139,Driver_139,New York,Dallas,2087.81,2025-08-26 11:03:12.972437,2025-08-27 16:03:12.972437,2025-08-27 17:04:12.972437,Delivered,1165.63,667.49,291.26,60.33,3772.16,1587.45,217,18-wheeler,0,0,40.05816,-80.280779,37.741831,-75.656216,Cloudy
61,106,Driver_106,Chicago,Houston,1661.88,2025-08-27 17:03:12.972470,2025-08-30 15:03:12.972470,2025-08-30 15:04:12.972470,Delivered,411.82,615.8,233.29,42.6,3939.43,2635.92,247,Truck,0,0,30.643157,-102.543376,27.591,-107.837439,Cloudy
62,142,Driver_142,Houston,Boston,881.66,2025-08-28 22:03:12.972505,2025-08-30 01:03:12.972505,2025-08-30 03:22:12.972505,Scheduled,260.71,372.53,137.34,69.36,1635.65,795.71,226,18-wheeler,0,0,31.409858,-84.820417,28.762994,-116.955751,Sunny
63,107,Driver_107,Chicago,Seattle,240.46,2025-08-26 16:03:12.972538,2025-08-30 15:03:12.972538,2025-08-30 15:24:12.972538,Delivered,133.88,108.49,137.47,36.99,381.02,-35.81,234,Truck,0,0,41.401158,-95.79421,29.616623,-73.697363,Snow
64,105,Driver_105,Boston,New York,1321.66,2025-08-28 10:03:12.972571,2025-09-01 09:03:12.972571,2025-09-01 09:21:12.972571,In Transit,496.19,504.33,167.73,77.04,2262.99,1017.7,207,Van,2,2,40.894664,-74.246419,28.843414,-79.563031,Rain
65,136,Driver_136,Houston,Dallas,1971.53,2025-08-26 09:03:12.972605,2025-08-27 17:03:12.972605,2025-08-27 16:52:12.972605,Delivered,802.9,607.81,292.46,48.56,3643.54,1891.81,202,18-wheeler,1,1,32.802992,-85.562104,35.154129,-102.469367,Sunny
66,131,Driver_131,Denver,Los Angeles,1200.48,2025-08-28 18:03:12.972639,2025-09-01 13:03:12.972639,2025-09-01 14:45:12.972639,In Transit,478.81,659.18,272.37,73.54,1824.44,340.54,205,Truck,2,2,26.44764,-111.24641,37.385728,-96.518192,Cloudy
67,121,Driver_121,Los Angeles,Boston,2001.13,2025-08-28 13:03:12.972684,2025-08-30 12:03:12.972684,2025-08-30 13:52:12.972684,Delivered,810.06,716.73,91.99,59.68,3179.41,1500.95,225,18-wheeler,1,1,27.563615,-113.725468,30.040826,-110.083402,Sunny
68,131,Driver_131,Dallas,Denver,2359.85,2025-08-27 13:03:12.972717,2025-08-29 11:03:12.972717,2025-08-29 10:51:12.972717,In Transit,1098.03,1015.29,277.08,57.23,3707.81,1260.18,208,Van,0,0,33.509625,-81.59261,28.810365,-70.36636,Snow
69,115,Driver_115,New York,Chicago,201.68,2025-08-26 17:03:12.972752,2025-08-28 16:03:12.972752,2025-08-28 15:59:12.972752,Delivered,62.84,80.68,99.21,40.18,441.24,158.33,249,Truck,1,1,25.436633,-79.124465,27.898763,-71.479949,Rain
70,150,Driver_150,Houston,Atlanta,1823.43,2025-08-27 17:03:12.972786,2025-08-30 11:03:12.972786,2025-08-30 11:17:12.972786,Delivered,1041.0,730.05,103.49,14.46,3293.22,1404.22,233,Truck,0,0,25.766355,-116.150148,30.145498,-108.384073,Sunny
71,111,Driver_111,Atlanta,Denver,1286.71,2025-08-28 06:03:12.972818,2025-08-29 22:03:12.972818,2025-08-30 00:31:12.972818,Delivered,509.56,470.09,197.74,63.86,2646.61,1405.36,232,Truck,0,0,25.84034,-111.187694,27.583531,-111.330159,Cloudy
72,144,Driver_144,Chicago,Atlanta,1442.58,2025-08-27 22:03:12.972852,2025-08-31 07:03:12.972852,2025-08-31 07:59:12.972852,Delivered,555.91,807.75,116.72,10.72,3552.77,2061.67,232,Truck,0,0,25.629198,-83.448378,39.898588,-117.069988,Rain
73,134,Driver_134,Atlanta,Dallas,1472.08,2025-08-27 01:03:12.972886,2025-08-30 23:03:12.972886,2025-08-31 01:30:12.972886,Delayed,540.5,670.48,203.93,44.53,2464.85,1005.41,210,Van,0,0,25.514582,-82.091884,35.534472,-108.398589,Rain
74,137,Driver_137,Denver,Dallas,1704.71,2025-08-26 23:03:12.972918,2025-08-28 16:03:12.972918,2025-08-28 18:22:12.972918,Scheduled,601.14,965.48,141.7,72.37,3827.4,2046.71,224,Truck,1,1,25.374835,-85.050772,36.306682,-83.317308,Snow
75,124,Driver_124,Denver,New York,1095.37,2025-08-29 01:03:12.972952,2025-09-02 05:03:12.972952,2025-09-02 05:46:12.972952,Scheduled,456.86,368.09,260.89,54.21,2156.19,1016.14,237,Van,2,2,37.50867,-99.340807,30.252989,-107.943278,Sunny
76,133,Driver_133,Dallas,Boston,787.4,2025-08-27 10:03:12.972993,2025-08-28 12:03:12.972993,2025-08-28 11:52:12.972993,Delivered,384.43,446.59,94.38,10.13,1239.63,304.1,225,18-wheeler,0,0,40.502779,-103.874269,39.4955,-74.128091,Rain
77,109,Driver_109,Seattle,New York,1414.59,2025-08-27 10:03:12.973027,2025-08-29 11:03:12.973027,2025-08-29 13:22:12.973027,Delivered,378.96,645.05,243.54,79.99,3394.8,2047.26,222,18-wheeler,1,1,25.85504,-74.944643,31.371405,-76.954101,Snow
78,142,Driver_142,Seattle,Dallas,1038.12,2025-08-27 01:03:12.973069,2025-08-28 14:03:12.973069,2025-08-28 16:58:12.973069,Delivered,490.78,424.1,157.07,17.22,2231.97,1142.8,209,Truck,0,0,29.813492,-96.076543,32.606511,-92.184108,Rain
79,101,Driver_101,Los Angeles,Denver,296.28,2025-08-27 19:03:12.973105,2025-08-29 00:03:12.973105,2025-08-29 01:00:12.973105,In Transit,108.32,170.51,145.8,45.21,737.44,267.6,233,Truck,0,0,29.480181,-102.263026,32.666832,-118.092455,Sunny
80,132,Driver_132,Houston,Los Angeles,838.06,2025-08-29 05:03:12.973138,2025-08-30 11:03:12.973138,2025-08-30 13:35:12.973138,In Transit,302.36,304.29,69.44,78.06,1670.72,916.57,230,Van,2,2,26.657432,-76.717883,36.568828,-98.024676,Cloudy
81,124,Driver_124,Atlanta,Denver,2163.32,2025-08-28 09:03:12.973171,2025-08-30 09:03:12.973171,2025-08-30 10:18:12.973171,Delivered,814.32,938.33,108.63,17.7,4790.53,2911.55,248,18-wheeler,0,0,32.567767,-91.256093,36.356071,-106.985066,Cloudy
82,150,Driver_150,Dallas,Miami,2309.24,2025-08-27 21:03:12.973203,2025-09-01 02:03:12.973203,2025-09-01 02:26:12.973203,In Transit,629.61,1225.35,65.05,62.84,4859.21,2876.36,232,Truck,0,0,26.780693,-73.93375,35.663435,-93.614441,Rain
83,106,Driver_106,Houston,Miami,1264.78,2025-08-28 08:03:12.973236,2025-08-29 14:03:12.973236,2025-08-29 16:30:12.973236,Delivered,446.85,514.07,251.29,80.17,3032.05,1739.67,245,Truck,0,0,29.464161,-88.435663,28.291002,-118.703343,Snow
84,150,Driver_150,Los Angeles,Seattle,2238.61,2025-08-26 20:03:12.973268,2025-08-29 02:03:12.973268,2025-08-29 04:06:12.973268,In Transit,932.26,1021.36,105.83,53.96,4639.9,2526.49,247,Truck,1,1,29.955545,-103.735923,34.826474,-96.931223,Rain
85,120,Driver_120,Chicago,Miami,502.29,2025-08-26 09:03:12.973303,2025-08-31 01:03:12.973303,2025-08-31 03:54:12.973303,In Transit,225.0,169.61,203.81,22.74,999.74,378.58,216,18-wheeler,0,0,26.287636,-96.832965,28.394385,-114.559358,Sunny
86,148,Driver_148,Los Angeles,Seattle,2405.23,2025-08-27 14:03:12.973336,2025-09-01 07:03:12.973336,2025-09-01 08:38:12.973336,In Transit,1028.99,1166.47,281.15,86.84,5441.28,2877.83,215,Van,0,0,30.661499,-77.998743,32.805971,-94.124816,Snow
87,148,Driver_148,Chicago,Denver,1135.53,2025-08-26 20:03:12.973371,2025-08-30 14:03:12.973371,2025-08-30 15:28:12.973371,In Transit,491.92,653.7,235.94,100.0,2158.36,676.8,209,Truck,0,0,32.190977,-105.778831,38.90164,-75.798483,Snow
88,132,Driver_132,Houston,Denver,1669.11,2025-08-27 08:03:12.973408,2025-08-29 02:03:12.973408,2025-08-29 02:46:12.973408,Scheduled,524.59,861.35,119.25,39.3,3425.38,1880.89,215,Van,0,0,26.1075,-92.756488,39.536237,-104.445138,Sunny
89,113,Driver_113,Houston,Chicago,1646.84,2025-08-28 16:03:12.973445,2025-09-01 16:03:12.973445,2025-09-01 16:03:12.973445,Delivered,558.78,735.39,243.63,17.32,3722.52,2167.4,201,Truck,0,0,31.550321,-99.790771,41.994098,-87.112962,Sunny
90,140,Driver_140,Los Angeles,Seattle,599.09,2025-08-26 09:03:12.973478,2025-08-29 23:03:12.973478,2025-08-29 22:52:12.973478,In Transit,317.65,262.78,80.78,35.64,1352.68,655.83,235,Truck,0,0,39.747746,-99.180228,25.929779,-75.796927,Rain
91,133,Driver_133,New York,Chicago,1481.41,2025-08-29 01:03:12.973512,2025-09-02 02:03:12.973512,2025-09-02 04:52:12.973512,Delivered,832.86,774.87,230.47,91.75,2506.5,576.55,242,Van,0,0,30.521324,-71.114678,31.432582,-112.966284,Rain
92,110,Driver_110,Atlanta,Miami,2018.55,2025-08-28 14:03:12.973556,2025-09-01 08:03:12.973556,2025-09-01 10:16:12.973556,In Transit,1049.69,1017.32,61.28,46.81,4568.41,2393.31,220,18-wheeler,0,0,31.426393,-84.259013,34.573796,-80.662527,Snow
93,112,Driver_112,Los Angeles,Seattle,1407.67,2025-08-27 12:03:12.973592,2025-09-01 01:03:12.973592,2025-09-01 03:44:12.973592,In Transit,511.36,641.36,240.79,54.89,3154.75,1706.35,223,18-wheeler,0,0,38.391638,-105.714237,32.424649,-86.321121,Rain
94,149,Driver_149,Atlanta,Dallas,1597.89,2025-08-27 06:03:12.973626,2025-08-31 18:03:12.973626,2025-08-31 18:17:12.973626,Delivered,623.43,699.86,188.14,10.03,2810.93,1289.47,230,Van,1,1,27.99455,-79.374037,41.164383,-94.292592,Rain
95,127,Driver_127,Atlanta,Boston,2084.74,2025-08-28 22:03:12.973658,2025-09-02 06:03:12.973658,2025-09-02 06:44:12.973658,Delivered,544.83,711.63,195.07,86.13,3439.91,1902.25,223,18-wheeler,0,0,37.288588,-70.479066,37.188889,-81.110963,Cloudy
96,110,Driver_110,Miami,Boston,1418.99,2025-08-26 22:03:12.973693,2025-08-29 13:03:12.973693,2025-08-29 14:37:12.973693,Delivered,469.78,496.72,235.96,13.33,2279.14,1063.35,210,Van,0,0,37.89496,-103.199839,39.364882,-81.129842,Sunny
97,149,Driver_149,Miami,Denver,613.55,2025-08-27 13:03:12.973734,2025-08-30 02:03:12.973734,2025-08-30 04:42:12.973734,Delivered,272.58,366.03,296.79,25.24,1282.75,322.11,233,Truck,3,3,40.615986,-72.46106,40.402743,-111.459814,Sunny
